show_id,type,title,director,cast,country,language,date_added,release_year,rating,duration,runtime_minutes,listed_in,imdb_score,popularity_score,netflix_original,description
n00017,Movie,Never Have I Ever,Ava DuVernay,"Millie Bobby Brown, Dev Patel, Úrsula Corberó",United Kingdom,English,03-01-2018,2014,TV-PG,87 min,87,"Horror, Thriller",8.8,78,TRUE,"Never Have I Ever is a movie in the Horror, Thriller category from United Kingdom."
n00018,Movie,The Haunting of Hill House,Ava DuVernay,"Kiara Advani, Florence Pugh, Radhika Apte",Japan,Japanese,10-12-2024,2013,TV-14,143 min,143,"Crime, War, Family",6.3,100,TRUE,"The Haunting of Hill House is a movie in the Crime, War, Family category from Japan."
n00019,Movie,Peaky Blinders,Álex Pina,"Daniel Craig, Radhika Apte, Adam Driver",United States,Spanish,03-02-2024,2000,R,99 min,99,"Reality TV, Comedy, Mystery",8.2,77,FALSE,"Peaky Blinders is a movie in the Reality TV, Comedy, Mystery category from United States."
n00020,Movie,The Irishman,Bong Joon-ho,"Henry Cavill, Penn Badgley, Vicky Kaushal",Spain,Spanish,25-05-2024,2007,R,134 min,134,"Mystery, Sci-Fi, Fantasy",7.2,93,TRUE,"The Irishman is a movie in the Mystery, Sci-Fi, Fantasy category from Spain."
n00021,Movie,Marriage Story,Álex Pina,"Kriti Sanon, Kiara Advani, Jenna Ortega",Spain,Spanish,15-06-2023,2023,TV-14,103 min,103,"Reality TV, War, Adventure",7.7,90,TRUE,"Marriage Story is a movie in the Reality TV, War, Adventure category from Spain."
n00022,TV Show,Roma,Steven Soderbergh,"Daniel Craig, Radhika Apte, Kiara Advani",Sweden,Swedish,01-04-2024,2023,R,1 Season,,War,8.6,100,FALSE,Roma is a tv show in the War category from Sweden.
n00023,Movie,Don't Look Up,Anurag Kashyap,"Ana de Armas, Kriti Sanon, Dev Patel",India,Hindi,16-10-2018,2017,TV-MA,151 min,151,"Drama, Family, Documentary",8.1,79,TRUE,"Don't Look Up is a movie in the Drama, Family, Documentary category from India."
n00024,TV Show,Glass Onion,Vikramaditya Motwane,"Adam Driver, Jenna Ortega, Radhika Apte",South Korea,Korean,25-08-2020,2011,TV-MA,1 Season,,Animation,9.4,100,TRUE,Glass Onion is a tv show in the Animation category from South Korea.
n00025,TV Show,The Gray Man,Baran bo Odar,"Alia Bhatt, Anya Taylor-Joy, Henry Cavill",United States,Spanish,05-08-2024,2016,TV-14,2 Seasons,,Sci-Fi,6.9,98,TRUE,The Gray Man is a tv show in the Sci-Fi category from United States.
n00026,Movie,Extraction,Shawn Levy,"Úrsula Corberó, Lee Jung-jae, Regé-Jean Page",Japan,Japanese,22-03-2019,1996,TV-14,89 min,89,"Sci-Fi, Horror",8.2,77,TRUE,"Extraction is a movie in the Sci-Fi, Horror category from Japan."
n00027,Movie,Enola Holmes,Anurag Kashyap,"Lee Jung-jae, Regé-Jean Page, Anya Taylor-Joy",Germany,German,23-09-2022,1995,TV-14,155 min,155,"Mystery, Sports",5.8,78,TRUE,"Enola Holmes is a movie in the Mystery, Sports category from Germany."
n00028,Movie,The Adam Project,Martin Scorsese,"Henry Cavill, Millie Bobby Brown, Anya Taylor-Joy",Spain,Spanish,04-05-2019,2018,TV-MA,84 min,84,Horror,9.1,100,TRUE,The Adam Project is a movie in the Horror category from Spain.
n00029,TV Show,Bird Box,Ava DuVernay,"Radhika Apte, Penn Badgley, Claire Foy",India,Tamil,05-07-2024,2024,TV-14,1 Season,,"Animation, Family, Adventure",7.6,89,FALSE,"Bird Box is a tv show in the Animation, Family, Adventure category from India."
n00030,Movie,Red Notice,Shonda Rhimes,"Song Kang, Scarlett Johansson, Radhika Apte",Canada,English,08-07-2021,2019,R,172 min,172,"Thriller, Animation",9.4,78,FALSE,"Red Notice is a movie in the Thriller, Animation category from Canada."
n00031,Movie,All Quiet on the Western Front,Bong Joon-ho,"Rajkummar Rao, Florence Pugh, Claire Foy",Mexico,Spanish,30-12-2020,2011,TV-14,139 min,139,"Sci-Fi, Sports",7.9,82,TRUE,"All Quiet on the Western Front is a movie in the Sci-Fi, Sports category from Mexico."
n00032,TV Show,The Trial of the Chicago 7,Zoya Akhtar,"Penn Badgley, Anya Taylor-Joy, Alia Bhatt",United States,Spanish,01-01-2022,2022,TV-MA,1 Season,,Reality TV,7.3,100,FALSE,The Trial of the Chicago 7 is a tv show in the Reality TV category from United States.
n00033,Movie,The Platform,Baran bo Odar,"Alia Bhatt, Millie Bobby Brown, Jenna Ortega",Mexico,Spanish,10-08-2023,2019,R,105 min,105,"Crime, Romance, Adventure",7.2,95,TRUE,"The Platform is a movie in the Crime, Romance, Adventure category from Mexico."
n00034,Movie,To All the Boys I've Loved Before,Álex Pina,"Daniel Craig, Anya Taylor-Joy, Adam Driver",United States,English,08-08-2018,2013,TV-MA,97 min,97,"Documentary, Romance",7.8,69,FALSE,"To All the Boys I've Loved Before is a movie in the Documentary, Romance category from United States."
n00035,Movie,The Kissing Booth,Mike Flanagan,"Vicky Kaushal, Daniel Craig, Rajkummar Rao",Brazil,Portuguese,06-10-2022,2022,PG-13,168 min,168,"Action, Reality TV",8.1,84,FALSE,"The Kissing Booth is a movie in the Action, Reality TV category from Brazil."
n00036,Movie,6 Underground,Shawn Levy,"Adam Driver, Regé-Jean Page, Vicky Kaushal",France,French,08-02-2022,2019,TV-MA,159 min,159,"War, Sci-Fi",7.8,91,TRUE,"6 Underground is a movie in the War, Sci-Fi category from France."
n00037,Movie,Guillermo del Toro's Pinocchio,Vikramaditya Motwane,"Penn Badgley, Claire Foy, Ryan Reynolds",Germany,German,01-02-2024,2006,G,153 min,153,"Sports, Family, Romance",8.8,84,FALSE,"Guillermo del Toro's Pinocchio is a movie in the Sports, Family, Romance category from Germany."
n00038,Movie,The OA,Mike Flanagan,"Millie Bobby Brown, Regé-Jean Page, Dev Patel",Sweden,Swedish,20-09-2024,2018,TV-PG,131 min,131,"Family, Crime",7.4,86,FALSE,"The OA is a movie in the Family, Crime category from Sweden."
n00039,Movie,Black Mirror,Lana Wachowski,"Daniel Craig, Radhika Apte, Song Kang",Sweden,Swedish,20-02-2020,2011,TV-14,149 min,149,"Fantasy, Drama",8.3,69,TRUE,"Black Mirror is a movie in the Fantasy, Drama category from Sweden."
n00040,Movie,Orange Is the New Black,Ava DuVernay,"Kriti Sanon, Anya Taylor-Joy, Ana de Armas",South Korea,Korean,14-04-2024,2024,TV-MA,76 min,76,"Sports, Mystery",7.1,74,FALSE,"Orange Is the New Black is a movie in the Sports, Mystery category from South Korea."
n00041,Movie,House of Cards,Ava DuVernay,"Chris Hemsworth, Daniel Craig, Millie Bobby Brown",United States,Spanish,01-08-2021,2018,PG-13,136 min,136,"Sci-Fi, Romance",7.3,100,FALSE,"House of Cards is a movie in the Sci-Fi, Romance category from United States."
n00042,Movie,BoJack Horseman,Greta Gerwig,"Anya Taylor-Joy, Song Kang, Lee Jung-jae",India,English,12-05-2024,2014,TV-14,182 min,182,"Comedy, Romance",8.3,78,TRUE,"BoJack Horseman is a movie in the Comedy, Romance category from India."
n00043,Movie,Cobra Kai,Greta Gerwig,"Chris Hemsworth, Ryan Reynolds, Scarlett Johansson",United States,English,14-07-2021,2013,PG-13,87 min,87,"Action, Crime",7.1,100,TRUE,"Cobra Kai is a movie in the Action, Crime category from United States."
n00044,Movie,Arcane,Martin Scorsese,"Regé-Jean Page, Scarlett Johansson, Florence Pugh",United States,English,22-10-2022,2020,TV-MA,180 min,180,War,8.3,55,TRUE,Arcane is a movie in the War category from United States.
n00045,Movie,The Sandman,Ryan Murphy,"Daniel Craig, Jenna Ortega, Adam Driver",United States,Spanish,27-12-2023,2015,TV-14,185 min,185,"Romance, Adventure",9,100,FALSE,"The Sandman is a movie in the Romance, Adventure category from United States."
n00046,TV Show,Heartstopper,Mike Flanagan,"Ryan Reynolds, Penn Badgley, Song Kang",United States,Spanish,21-06-2017,2014,PG,1 Season,,"Sports, History, Documentary",9,80,FALSE,"Heartstopper is a tv show in the Sports, History, Documentary category from United States."
n00047,Movie,Maid,Hwang Dong-hyuk,"Kriti Sanon, Ryan Reynolds, Jenna Ortega",France,French,19-06-2019,2002,TV-MA,162 min,162,War,7.4,100,FALSE,Maid is a movie in the War category from France.
n00048,Movie,Unorthodox,Mike Flanagan,"Henry Cavill, Ryan Reynolds, Jenna Ortega",South Korea,Korean,15-08-2017,2013,TV-MA,143 min,143,Thriller,8.5,85,FALSE,Unorthodox is a movie in the Thriller category from South Korea.
n00049,Movie,Elite,Shonda Rhimes,"Alia Bhatt, Radhika Apte, Vicky Kaushal",United States,Spanish,01-01-2016,2012,TV-MA,152 min,152,"Family, Romance",9.4,99,TRUE,"Elite is a movie in the Family, Romance category from United States."
n00050,TV Show,Sacred Games,Shonda Rhimes,"Lee Jung-jae, Radhika Apte, Henry Cavill",United States,English,24-03-2024,2016,PG,2 Seasons,,"Sci-Fi, Thriller, Romance",7.9,100,FALSE,"Sacred Games is a tv show in the Sci-Fi, Thriller, Romance category from United States."
n00051,Movie,Delhi Crime,Baran bo Odar,"Claire Foy, Anya Taylor-Joy, Ryan Reynolds",Canada,French,03-03-2022,2022,TV-MA,95 min,95,"Comedy, History, Family",8.5,100,FALSE,"Delhi Crime is a movie in the Comedy, History, Family category from Canada."
n00052,TV Show,Darlings,Noah Baumbach,"Anya Taylor-Joy, Jenna Ortega, Úrsula Corberó",United Kingdom,English,10-10-2024,2024,TV-MA,1 Season,,Documentary,8.9,74,TRUE,Darlings is a tv show in the Documentary category from United Kingdom.
n00053,Movie,Mimi,Noah Baumbach,"Penn Badgley, Kiara Advani, Kriti Sanon",Mexico,Spanish,05-04-2021,2009,TV-14,93 min,93,"Fantasy, History",8.7,90,TRUE,"Mimi is a movie in the Fantasy, History category from Mexico."
n00054,Movie,RRR,Álex Pina,"Millie Bobby Brown, Dev Patel, Florence Pugh",United Kingdom,English,27-11-2022,2016,TV-14,116 min,116,"Family, Horror, Sports",6.7,100,TRUE,"RRR is a movie in the Family, Horror, Sports category from United Kingdom."
n00055,TV Show,Gangubai Kathiawadi,Lana Wachowski,"Millie Bobby Brown, Rajkummar Rao, Chris Hemsworth",United States,English,24-12-2023,2018,TV-MA,1 Season,,"Action, Adventure",8.2,100,TRUE,"Gangubai Kathiawadi is a tv show in the Action, Adventure category from United States."
n00056,Movie,Kingdom of City 56,David Fincher,"Ana de Armas, Anya Taylor-Joy, Rajkummar Rao",United States,English,27-04-2024,2001,TV-14,177 min,177,"Sports, Thriller, Sci-Fi",6.6,73,FALSE,"Kingdom of City 56 is a movie in the Sports, Thriller, Sci-Fi category from United States."
n00057,TV Show,Game of Project 57,Zoya Akhtar,"Song Kang, Daniel Craig, Adam Driver",Japan,Japanese,11-05-2022,2022,PG-13,2 Seasons,,War,7.1,90,TRUE,Game of Project 57 is a tv show in the War category from Japan.
n00058,Movie,Trial of Night 58,Alfonso Cuarón,"Rajkummar Rao, Ana de Armas, Kriti Sanon",Japan,Japanese,26-09-2019,2014,TV-MA,124 min,124,"Documentary, Crime",8.1,64,TRUE,"Trial of Night 58 is a movie in the Documentary, Crime category from Japan."
n00059,TV Show,Trial of House 59,Hwang Dong-hyuk,"Florence Pugh, Úrsula Corberó, Ana de Armas",United States,English,21-06-2017,2013,TV-14,1 Season,,"Fantasy, Drama, Mystery",5.9,76,TRUE,"Trial of House 59 is a tv show in the Fantasy, Drama, Mystery category from United States."
n00060,Movie,Sacred Games: Reborn,David Fincher,"Regé-Jean Page, Henry Cavill, Ryan Reynolds",Canada,French,13-04-2023,1995,TV-PG,86 min,86,"Documentary, Animation",6.1,100,FALSE,"Sacred Games: Reborn is a movie in the Documentary, Animation category from Canada."
n00061,Movie,Code of House 61,Zoya Akhtar,"Ana de Armas, Rajkummar Rao, Dev Patel",United Kingdom,English,19-02-2023,2022,TV-PG,180 min,180,"Reality TV, Fantasy",7.6,79,TRUE,"Code of House 61 is a movie in the Reality TV, Fantasy category from United Kingdom."
n00062,Movie,City of Project 62,Ryan Murphy,"Chris Hemsworth, Ryan Reynolds, Claire Foy",South Korea,Korean,21-01-2024,2024,R,138 min,138,"Fantasy, Comedy",6.4,86,FALSE,"City of Project 62 is a movie in the Fantasy, Comedy category from South Korea."
n00063,Movie,Shadow of Club 63,Vikramaditya Motwane,"Ryan Reynolds, Jenna Ortega, Regé-Jean Page",Mexico,Spanish,26-10-2020,2016,TV-PG,182 min,182,"Action, Sci-Fi, Documentary",7.7,68,TRUE,"Shadow of Club 63 is a movie in the Action, Sci-Fi, Documentary category from Mexico."
n00064,Movie,Empire of Chronicles 64,Rian Johnson,"Radhika Apte, Lee Jung-jae, Alia Bhatt",Germany,German,10-02-2021,2014,TV-14,144 min,144,Action,8.1,79,TRUE,Empire of Chronicles 64 is a movie in the Action category from Germany.
n00065,Movie,Love of Club 65,Mike Flanagan,"Vicky Kaushal, Chris Hemsworth, Úrsula Corberó",Spain,Spanish,13-03-2019,2019,TV-MA,142 min,142,"History, Reality TV",7.5,73,FALSE,"Love of Club 65 is a movie in the History, Reality TV category from Spain."
n00066,Movie,Secret of Dream 66,Bong Joon-ho,"Rajkummar Rao, Alia Bhatt, Ana de Armas",Italy,Italian,02-11-2024,2024,TV-14,183 min,183,"Animation, Sci-Fi",7,51,TRUE,"Secret of Dream 66 is a movie in the Animation, Sci-Fi category from Italy."
n00067,Movie,Stranger Things: Origins,Hwang Dong-hyuk,"Alia Bhatt, Henry Cavill, Vicky Kaushal",Canada,French,23-08-2020,2020,TV-MA,95 min,95,"War, Sci-Fi",5.1,72,TRUE,"Stranger Things: Origins is a movie in the War, Sci-Fi category from Canada."
n00068,TV Show,Ozark: Reborn,David Fincher,"Adam Driver, Ryan Reynolds, Scarlett Johansson",United States,Spanish,13-12-2022,2022,PG,5 Seasons,,"War, Sports, Reality TV",7.9,87,FALSE,"Ozark: Reborn is a tv show in the War, Sports, Reality TV category from United States."
n00069,Movie,Legacy of Legacy 69,Greta Gerwig,"Claire Foy, Penn Badgley, Rajkummar Rao",United States,English,13-12-2024,2022,TV-14,94 min,94,"Animation, Crime, Sports",6.3,65,FALSE,"Legacy of Legacy 69 is a movie in the Animation, Crime, Sports category from United States."
n00070,Movie,House of Love 70,Ryan Murphy,"Regé-Jean Page, Kiara Advani, Millie Bobby Brown",United States,Spanish,03-03-2016,2004,TV-PG,157 min,157,"Sports, Comedy",7.6,100,TRUE,"House of Love 70 is a movie in the Sports, Comedy category from United States."
n00071,Movie,Road of Night 71,Bong Joon-ho,"Florence Pugh, Daniel Craig, Claire Foy",Japan,Japanese,01-02-2021,2021,PG-13,145 min,145,"Romance, Horror, History",6.4,75,TRUE,"Road of Night 71 is a movie in the Romance, Horror, History category from Japan."
n00072,Movie,Island of Legacy 72,Steven Soderbergh,"Millie Bobby Brown, Dev Patel, Penn Badgley",India,Tamil,16-02-2021,2018,TV-MA,177 min,177,"Thriller, Family, Adventure",7,63,TRUE,"Island of Legacy 72 is a movie in the Thriller, Family, Adventure category from India."
n00073,TV Show,Chronicles of Project 73,Greta Gerwig,"Úrsula Corberó, Scarlett Johansson, Ryan Reynolds",Netherlands,Dutch,26-10-2024,2020,TV-MA,2 Seasons,,"Reality TV, Mystery, Sports",7.1,89,FALSE,"Chronicles of Project 73 is a tv show in the Reality TV, Mystery, Sports category from Netherlands."
n00074,TV Show,Diary of Project 74,Shonda Rhimes,"Chris Hemsworth, Florence Pugh, Rajkummar Rao",United States,Spanish,04-07-2023,2023,TV-MA,1 Season,,"Animation, Action, Drama",6.2,79,FALSE,"Diary of Project 74 is a tv show in the Animation, Action, Drama category from United States."
n00075,Movie,Trial of Mystery 75,Hwang Dong-hyuk,"Jenna Ortega, Ana de Armas, Lee Jung-jae",United States,Spanish,16-11-2016,1995,TV-14,91 min,91,"Horror, Thriller, Family",8,56,TRUE,"Trial of Mystery 75 is a movie in the Horror, Thriller, Family category from United States."
n00076,TV Show,Never Have I Ever: Untold,Mike Flanagan,"Song Kang, Adam Driver, Regé-Jean Page",Germany,German,25-02-2019,2000,TV-MA,1 Season,,"Romance, Drama",8,86,TRUE,"Never Have I Ever: Untold is a tv show in the Romance, Drama category from Germany."
n00077,TV Show,RRR: Untold,Hwang Dong-hyuk,"Adam Driver, Claire Foy, Song Kang",Japan,Japanese,18-03-2023,2019,TV-14,2 Seasons,,"Horror, Drama",6.5,75,FALSE,"RRR: Untold is a tv show in the Horror, Drama category from Japan."
n00078,Movie,Legacy of Signal 78,Baran bo Odar,"Florence Pugh, Daniel Craig, Radhika Apte",India,Tamil,11-08-2023,1999,TV-MA,138 min,138,"Documentary, Mystery",5.9,67,FALSE,"Legacy of Signal 78 is a movie in the Documentary, Mystery category from India."
n00079,TV Show,Empire of Legacy 79,Steven Soderbergh,"Ryan Reynolds, Daniel Craig, Florence Pugh",Canada,English,07-03-2024,2024,TV-14,1 Season,,Mystery,6.3,58,FALSE,Empire of Legacy 79 is a tv show in the Mystery category from Canada.
n00080,TV Show,Legacy of Road 80,Shonda Rhimes,"Kiara Advani, Millie Bobby Brown, Rajkummar Rao",South Korea,Korean,17-04-2018,2018,TV-14,2 Seasons,,"Sports, War",7.8,82,FALSE,"Legacy of Road 80 is a tv show in the Sports, War category from South Korea."
n00081,Movie,Island of City 81,Álex Pina,"Scarlett Johansson, Kiara Advani, Kriti Sanon",United States,Spanish,19-10-2021,2018,TV-14,124 min,124,Documentary,7.6,88,FALSE,Island of City 81 is a movie in the Documentary category from United States.
n00082,TV Show,Dream of Diary 82,Anurag Kashyap,"Rajkummar Rao, Jenna Ortega, Kriti Sanon",Netherlands,English,12-05-2019,2017,TV-MA,2 Seasons,,"Mystery, Crime, Action",7.2,43,FALSE,"Dream of Diary 82 is a tv show in the Mystery, Crime, Action category from Netherlands."
n00083,Movie,Diary of Season 83,Ava DuVernay,"Jenna Ortega, Adam Driver, Ana de Armas",United States,English,09-12-2017,2016,TV-MA,78 min,78,"War, History",6.6,79,FALSE,"Diary of Season 83 is a movie in the War, History category from United States."
n00084,Movie,Chronicles of Night 84,Bong Joon-ho,"Rajkummar Rao, Úrsula Corberó, Kiara Advani",France,French,26-08-2022,2002,TV-MA,107 min,107,Crime,7.2,80,FALSE,Chronicles of Night 84 is a movie in the Crime category from France.
n00085,TV Show,Empire of Love 85,Ava DuVernay,"Penn Badgley, Anya Taylor-Joy, Song Kang",United States,English,30-03-2018,2017,TV-14,3 Seasons,,Sports,7.9,74,FALSE,Empire of Love 85 is a tv show in the Sports category from United States.
n00086,Movie,Project of Project 86,Hwang Dong-hyuk,"Claire Foy, Kriti Sanon, Henry Cavill",United States,English,20-12-2023,2006,TV-MA,120 min,120,"Thriller, Drama",7.2,83,FALSE,"Project of Project 86 is a movie in the Thriller, Drama category from United States."
n00087,Movie,Signal of Shadow 87,Lana Wachowski,"Kriti Sanon, Radhika Apte, Alia Bhatt",United Kingdom,English,04-09-2021,2014,TV-MA,84 min,84,"Sports, Crime, Adventure",7.4,84,FALSE,"Signal of Shadow 87 is a movie in the Sports, Crime, Adventure category from United Kingdom."
n00088,Movie,Island of Code 88,Mike Flanagan,"Rajkummar Rao, Chris Hemsworth, Radhika Apte",Germany,German,08-05-2021,2021,TV-14,107 min,107,"Mystery, Crime",6.6,68,TRUE,"Island of Code 88 is a movie in the Mystery, Crime category from Germany."
n00089,TV Show,Road of Legacy 89,Hwang Dong-hyuk,"Jenna Ortega, Henry Cavill, Rajkummar Rao",Spain,Spanish,19-01-2021,2016,R,1 Season,,Romance,7.1,74,TRUE,Road of Legacy 89 is a tv show in the Romance category from Spain.
n00090,Movie,Season of Love 90,Anurag Kashyap,"Henry Cavill, Ryan Reynolds, Adam Driver",Norway,Norwegian,05-05-2023,2001,TV-14,83 min,83,"Thriller, Adventure, Horror",6.8,66,TRUE,"Season of Love 90 is a movie in the Thriller, Adventure, Horror category from Norway."
n00091,TV Show,Island of Project 91,Vikramaditya Motwane,"Kriti Sanon, Vicky Kaushal, Dev Patel",India,English,05-05-2021,2011,TV-MA,1 Season,,"History, Thriller, Action",7.1,82,FALSE,"Island of Project 91 is a tv show in the History, Thriller, Action category from India."
n00092,Movie,Mystery of City 92,Lana Wachowski,"Henry Cavill, Anya Taylor-Joy, Vicky Kaushal",United Kingdom,English,04-05-2022,2021,PG-13,112 min,112,"Animation, Crime",6.3,75,TRUE,"Mystery of City 92 is a movie in the Animation, Crime category from United Kingdom."
n00093,TV Show,Dream of City 93,Ava DuVernay,"Anya Taylor-Joy, Adam Driver, Úrsula Corberó",India,English,20-09-2020,2018,TV-14,1 Season,,"Sports, Documentary, Mystery",7.5,80,TRUE,"Dream of City 93 is a tv show in the Sports, Documentary, Mystery category from India."
n00094,Movie,Trial of Love 94,Baran bo Odar,"Adam Driver, Dev Patel, Scarlett Johansson",South Korea,Korean,15-01-2017,2012,TV-MA,101 min,101,"Horror, Drama",7.4,59,TRUE,"Trial of Love 94 is a movie in the Horror, Drama category from South Korea."
n00095,TV Show,Project of Empire 95,Steven Soderbergh,"Kiara Advani, Ana de Armas, Scarlett Johansson",United States,Spanish,18-07-2021,2014,PG-13,4 Seasons,,"Mystery, Horror, Thriller",8.9,82,TRUE,"Project of Empire 95 is a tv show in the Mystery, Horror, Thriller category from United States."
n00096,TV Show,Road of Empire 96,Hwang Dong-hyuk,"Millie Bobby Brown, Daniel Craig, Ana de Armas",India,Hindi,20-08-2024,2024,TV-14,3 Seasons,,Sci-Fi,6.3,96,TRUE,Road of Empire 96 is a tv show in the Sci-Fi category from India.
n00097,Movie,City of Project 97,Vikramaditya Motwane,"Rajkummar Rao, Úrsula Corberó, Chris Hemsworth",Norway,Norwegian,06-08-2016,2008,TV-14,89 min,89,"Drama, Family",6.7,54,FALSE,"City of Project 97 is a movie in the Drama, Family category from Norway."
n00098,Movie,Night of Love 98,Baran bo Odar,"Song Kang, Radhika Apte, Henry Cavill",Japan,Japanese,25-03-2021,2021,R,177 min,177,"Family, Horror, Thriller",8.7,57,FALSE,"Night of Love 98 is a movie in the Family, Horror, Thriller category from Japan."
n00099,Movie,Code of Mystery 99,Ava DuVernay,"Vicky Kaushal, Anya Taylor-Joy, Song Kang",South Korea,Korean,15-06-2024,2020,TV-14,104 min,104,"Sci-Fi, Fantasy",6.9,67,TRUE,"Code of Mystery 99 is a movie in the Sci-Fi, Fantasy category from South Korea."
n00100,Movie,City of Island 100,Greta Gerwig,"Scarlett Johansson, Rajkummar Rao, Alia Bhatt",Japan,Japanese,01-11-2016,1995,TV-14,139 min,139,"Sports, Drama, Mystery",6.6,49,TRUE,"City of Island 100 is a movie in the Sports, Drama, Mystery category from Japan."
n00101,TV Show,Club of City 101,Vikramaditya Motwane,"Kriti Sanon, Dev Patel, Song Kang",United States,Spanish,28-11-2019,2006,R,2 Seasons,,Documentary,6.3,81,FALSE,Club of City 101 is a tv show in the Documentary category from United States.
n00102,Movie,Project of Empire 102,Anurag Kashyap,"Chris Hemsworth, Rajkummar Rao, Jenna Ortega",United States,English,19-12-2021,2021,TV-MA,166 min,166,"Documentary, Comedy",6.6,93,TRUE,"Project of Empire 102 is a movie in the Documentary, Comedy category from United States."
n00103,TV Show,Project of Trial 103,Vikramaditya Motwane,"Henry Cavill, Adam Driver, Claire Foy",United States,Spanish,17-04-2023,2010,TV-PG,1 Season,,War,6.6,90,TRUE,Project of Trial 103 is a tv show in the War category from United States.
